"","student_id","group","score"
"1",1,"Control",35
"2",2,"Control",31
"3",3,"Control",29
"4",4,"Control",34
"5",5,"Control",32
"6",6,"Control",28
"7",7,"Control",36
"8",8,"Control",33
"9",9,"Control",30
"10",10,"Control",34
"11",11,"Control",37
"12",12,"Control",31
"13",13,"Control",35
"14",14,"Control",29
"15",15,"Control",32
"16",16,"Control",34
"17",17,"Control",30
"18",18,"Control",33
"19",19,"Control",36
"20",20,"Control",31
"21",21,"Distraction",27
"22",22,"Distraction",24
"23",23,"Distraction",22
"24",24,"Distraction",29
"25",25,"Distraction",25
"26",26,"Distraction",20
"27",27,"Distraction",28
"28",28,"Distraction",23
"29",29,"Distraction",26
"30",30,"Distraction",24
"31",31,"Distraction",21
"32",32,"Distraction",27
"33",33,"Distraction",25
"34",34,"Distraction",19
"35",35,"Distraction",30
"36",36,"Distraction",22
"37",37,"Distraction",26
"38",38,"Distraction",23
"39",39,"Distraction",28
"40",40,"Distraction",24
