"","household_id","region","adults","children","household_size","receives_support","weekly_income","weekly_rent","income_2025","income_2026"
"1",1,"Capital city",4,0,4,"Yes",811,423,827,881
"2",2,"Capital city",1,3,4,"No",1735,621,1639,1762
"3",3,"Capital city",2,3,5,"No",1233,449,1252,1282
"4",4,"Capital city",3,1,4,"Yes",1153,338,1092,1139
"5",5,"Regional",2,0,2,"No",1213,375,1220,1160
"6",6,"Regional",2,2,4,"No",3237,1005,3039,3229
"7",7,"Capital city",1,4,5,"Yes",2142,647,2067,2190
"8",8,"Regional",2,4,6,"No",1399,472,1303,1494
"9",9,"Capital city",1,1,2,"No",847,259,808,719
"10",10,"Capital city",3,2,5,"Yes",4035,1413,4023,4370
"11",11,"Capital city",2,2,4,"No",1197,649,1204,1063
"12",12,"Capital city",4,3,7,"No",2338,815,2302,2196
"13",13,"Capital city",1,0,1,"Yes",1652,616,1622,1617
"14",14,"Capital city",2,1,3,"Yes",1269,605,1183,1326
"15",15,"Capital city",2,0,2,"No",2046,718,2048,2222
"16",16,"Regional",2,2,4,"No",1126,394,1094,1263
"17",17,"Regional",1,1,2,"No",1825,690,1810,2003
"18",18,"Regional",4,2,6,"No",1588,615,1587,1578
"19",19,"Regional",1,0,1,"Yes",449,120,438,358
"20",20,"Regional",2,0,2,"No",1398,309,1309,1226
"21",21,"Capital city",2,0,2,"No",1738,731,1635,1623
"22",22,"Regional",3,3,6,"Yes",2251,590,2106,1856
"23",23,"Regional",1,3,4,"Yes",1624,454,1541,1331
"24",24,"Capital city",2,1,3,"Yes",1294,519,1234,1242
"25",25,"Capital city",1,3,4,"No",2118,854,1958,1968
"26",26,"Regional",1,0,1,"No",1555,526,1509,1546
"27",27,"Capital city",2,0,2,"No",1477,488,1382,1849
"28",28,"Capital city",1,0,1,"No",1381,507,1277,1290
"29",29,"Capital city",1,2,3,"No",2043,666,2052,2260
"30",30,"Regional",2,2,4,"Yes",771,289,710,547
"31",31,"Regional",2,0,2,"No",1796,528,1825,2005
"32",32,"Regional",2,2,4,"No",1430,479,1387,1291
"33",33,"Capital city",3,2,5,"No",2648,963,2471,2514
"34",34,"Regional",4,1,5,"No",1546,439,1529,1411
"35",35,"Regional",2,0,2,"Yes",1404,425,1427,1548
"36",36,"Capital city",2,2,4,"No",1966,794,1901,2018
"37",37,"Regional",1,0,1,"No",1502,658,1399,1777
"38",38,"Capital city",4,0,4,"No",1716,641,1640,1890
"39",39,"Capital city",2,0,2,"Yes",1236,496,1152,1310
"40",40,"Regional",2,0,2,"No",2585,775,2463,2481
"41",41,"Capital city",4,2,6,"No",2548,976,2354,2287
"42",42,"Regional",3,0,3,"No",1954,628,1930,1951
"43",43,"Regional",2,0,2,"No",3179,922,3176,3118
"44",44,"Capital city",2,1,3,"Yes",1294,476,1216,1288
"45",45,"Capital city",3,0,3,"No",3022,954,3079,3144
"46",46,"Capital city",3,4,7,"No",1373,629,1329,1467
"47",47,"Capital city",3,0,3,"No",1524,750,1474,1482
"48",48,"Capital city",1,2,3,"Yes",1384,542,1307,1283
"49",49,"Capital city",2,0,2,"No",1202,597,1220,1265
"50",50,"Capital city",2,2,4,"Yes",1672,703,1693,1711
"51",51,"Capital city",1,0,1,"No",2103,687,1996,2131
"52",52,"Regional",1,1,2,"No",1111,340,1062,1194
"53",53,"Capital city",2,0,2,"No",797,463,770,682
"54",54,"Capital city",2,1,3,"Yes",1705,560,1658,1496
"55",55,"Capital city",3,0,3,"No",1608,705,1522,1594
"56",56,"Regional",2,0,2,"No",1324,349,1307,1348
"57",57,"Capital city",3,0,3,"Yes",1661,389,1551,1660
"58",58,"Capital city",2,0,2,"No",2372,936,2349,2407
"59",59,"Capital city",1,2,3,"Yes",1355,384,1283,1292
"60",60,"Regional",2,1,3,"No",1763,766,1640,1753
"61",61,"Regional",2,2,4,"Yes",996,531,931,1174
"62",62,"Capital city",1,0,1,"Yes",1092,386,1032,1202
"63",63,"Regional",2,0,2,"No",698,280,692,844
"64",64,"Capital city",1,0,1,"No",994,416,921,947
"65",65,"Capital city",2,0,2,"No",794,304,756,774
"66",66,"Capital city",1,4,5,"No",1699,771,1699,1779
"67",67,"Capital city",2,0,2,"No",1246,538,1179,1282
"68",68,"Capital city",2,2,4,"No",2161,836,2033,1916
"69",69,"Regional",2,1,3,"Yes",1339,445,1288,1051
"70",70,"Regional",2,1,3,"No",1157,314,1178,1194
"71",71,"Regional",1,0,1,"No",1192,220,1150,1250
"72",72,"Regional",2,2,4,"No",1472,355,1410,1319
"73",73,"Capital city",1,2,3,"No",1674,635,1573,1515
"74",74,"Regional",1,0,1,"Yes",663,314,620,896
"75",75,"Capital city",2,2,4,"No",1819,615,1815,1558
"76",76,"Capital city",3,0,3,"Yes",452,184,440,570
"77",77,"Capital city",2,2,4,"No",1420,534,1415,1830
"78",78,"Regional",1,1,2,"No",2145,693,2180,2220
"79",79,"Capital city",2,0,2,"No",1315,486,1341,1661
"80",80,"Capital city",2,2,4,"Yes",1108,571,1042,1016
"81",81,"Capital city",4,3,7,"No",1692,716,1670,2066
"82",82,"Capital city",2,0,2,"No",1796,748,1687,1828
"83",83,"Regional",1,3,4,"No",1783,564,1745,1747
"84",84,"Regional",3,0,3,"No",1631,598,1660,1467
"85",85,"Regional",4,1,5,"No",992,267,963,1160
"86",86,"Capital city",1,0,1,"No",1159,520,1178,1187
"87",87,"Regional",2,2,4,"No",1108,347,1113,1065
"88",88,"Capital city",2,1,3,"No",3097,1282,2897,3048
"89",89,"Regional",3,3,6,"No",1743,545,1666,1735
"90",90,"Regional",2,0,2,"Yes",1161,461,1154,1187
"91",91,"Capital city",2,3,5,"Yes",725,462,680,901
"92",92,"Capital city",2,3,5,"No",908,347,917,1029
"93",93,"Capital city",3,0,3,"No",1863,577,1822,1830
"94",94,"Regional",1,0,1,"No",1507,396,1535,1176
"95",95,"Regional",1,2,3,"Yes",1136,478,1111,1037
"96",96,"Regional",1,0,1,"Yes",957,453,908,961
"97",97,"Capital city",1,0,1,"No",904,364,835,739
"98",98,"Regional",2,0,2,"No",985,221,927,1020
"99",99,"Capital city",2,0,2,"No",1003,302,1011,1004
"100",100,"Capital city",2,1,3,"No",2021,812,1920,2092
"101",101,"Capital city",2,0,2,"No",2377,706,2387,2324
"102",102,"Regional",2,2,4,"No",767,286,708,501
"103",103,"Regional",2,2,4,"No",2162,669,2183,2491
"104",104,"Capital city",1,2,3,"No",1804,693,1753,1900
"105",105,"Capital city",4,0,4,"Yes",1577,599,1553,1596
"106",106,"Capital city",3,4,7,"No",1838,581,1842,1882
"107",107,"Capital city",3,2,5,"Yes",1483,599,1492,1607
"108",108,"Capital city",2,3,5,"No",2428,1077,2453,2440
"109",109,"Capital city",2,3,5,"No",1634,725,1539,1686
"110",110,"Regional",1,4,5,"No",1341,544,1277,1116
"111",111,"Capital city",2,3,5,"Yes",1944,766,1803,1975
"112",112,"Regional",2,2,4,"No",914,215,887,974
"113",113,"Regional",3,0,3,"No",1774,556,1802,1781
"114",114,"Capital city",1,0,1,"No",1013,439,1020,1186
