"","student_id","group","score"
"1",1,"Control",21
"2",2,"Control",22
"3",3,"Control",20
"4",4,"Control",18
"5",5,"Control",21
"6",6,"Control",29
"7",7,"Control",20
"8",8,"Control",21
"9",9,"Control",23
"10",10,"Control",23
"11",11,"Control",23
"12",12,"Control",23
"13",13,"Control",18
"14",14,"Control",20
"15",15,"Control",18
"16",16,"Control",23
"17",17,"Control",16
"18",18,"Control",22
"19",19,"Control",19
"20",20,"Control",26
"21",21,"Control",19
"22",22,"Control",26
"23",23,"Control",23
"24",24,"Control",20
"25",25,"Control",19
"26",26,"Control",22
"27",27,"Control",23
"28",28,"Control",22
"29",29,"Control",22
"30",30,"Control",20
"31",31,"Control",19
"32",32,"Control",18
"33",33,"Control",23
"34",34,"Control",22
"35",35,"Control",19
"36",36,"Control",16
"37",37,"Control",23
"38",38,"Control",21
"39",39,"Control",18
"40",40,"Control",19
"41",41,"Control",22
"42",42,"Control",21
"43",43,"Control",19
"44",44,"Control",18
"45",45,"Control",20
"46",46,"Control",14
"47",47,"Control",22
"48",48,"Control",20
"49",49,"Control",22
"50",50,"Control",22
"51",51,"Distraction",16
"52",52,"Distraction",12
"53",53,"Distraction",19
"54",54,"Distraction",19
"55",55,"Distraction",13
"56",56,"Distraction",16
"57",57,"Distraction",12
"58",58,"Distraction",16
"59",59,"Distraction",9
"60",60,"Distraction",8
"61",61,"Distraction",21
"62",62,"Distraction",15
"63",63,"Distraction",14
"64",64,"Distraction",19
"65",65,"Distraction",15
"66",66,"Distraction",23
"67",67,"Distraction",21
"68",68,"Distraction",13
"69",69,"Distraction",14
"70",70,"Distraction",14
"71",71,"Distraction",18
"72",72,"Distraction",9
"73",73,"Distraction",21
"74",74,"Distraction",14
"75",75,"Distraction",12
"76",76,"Distraction",7
"77",77,"Distraction",13
"78",78,"Distraction",11
"79",79,"Distraction",12
"80",80,"Distraction",19
"81",81,"Distraction",13
"82",82,"Distraction",22
"83",83,"Distraction",21
"84",84,"Distraction",14
"85",85,"Distraction",11
"86",86,"Distraction",17
"87",87,"Distraction",12
"88",88,"Distraction",12
"89",89,"Distraction",8
"90",90,"Distraction",11
"91",91,"Distraction",19
"92",92,"Distraction",18
"93",93,"Distraction",13
"94",94,"Distraction",15
"95",95,"Distraction",24
"96",96,"Distraction",17
"97",97,"Distraction",15
"98",98,"Distraction",10
"99",99,"Distraction",22
"100",100,"Distraction",17
